title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo,language_id
Reggaetón Lento (Bailemos),CNCO,Primera Cita,0.761,0.838,-3.073,0.0502,0.4,0.0,0.71,93.974,1.0
Ride,Twenty One Pilots,Blurryface,0.645,0.713,-5.355,0.0393,0.00835,0.0,0.566,74.989,0.0
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),0.72,0.763,-4.068,0.0523,0.406,0.0,0.742,101.965,0.0
Ruleta Rusa,Kevin Roldan,The Beginning,0.614,0.58,-6.429,0.0588,0.308,0.0,0.63,120.092,0.0
Safari,"J Balvin, Pharrell Williams, BIA, Sky",Energía,0.508,0.687,-4.361,0.326,0.551,3.41E-6,0.555,180.044,1.0
Se Parece Más A Ti,Jambao,Separece A Ti,0.686,0.776,-3.601,0.0837,0.16,1.02E-5,0.94,179.915,1.0
Se Pone Loca,"CantoParaBailar, Lucas Sugo",Por Eso Canto para Bailar,0.499,0.879,-2.804,0.164,0.158,0.0,0.959,205.829,1.0
Segundas Intenciones,Rombai,De Fiesta,0.802,0.674,-7.033,0.0562,0.152,4.68E-6,0.83,110.02,1.0
Shaky Shaky,Daddy Yankee,Shaky Shaky,0.899,0.626,-4.228,0.292,0.076,0.0,0.873,88.007,0.0
Si Ella Quisiera - Remix,"Justin Quiles, Yandel, Gadiel",Si Ella Quisiera (Remix),0.777,0.687,-5.667,0.0722,0.0385,0.0,0.692,89.998,1.0
Si Te Vas,Agapornis,Agapornis - Volando Con Ritmo,0.69,0.706,-3.916,0.0414,0.222,0.0,0.851,114.824,1.0
Si ella quisiera,Justin Quiles,La Promesa,0.77,0.612,-7.755,0.086,0.0789,0.0,0.63,90.02,1.0
Si me dices que sí (feat. Nicky Jam),Cosculluela,Blanco Perla,0.67,0.679,-5.618,0.118,0.189,0.0,0.798,172.069,1.0
Sin Contrato,Maluma,"Pretty Boy, Dirty Boy",0.748,0.866,-3.41,0.057,0.111,0.0,0.839,96.037,0.0
Sin Contrato (feat. Don Omar & Wisin) - Remix,Maluma,Sin Contrato (feat. Don Omar & Wisin) [Remix],0.733,0.907,-4.002,0.158,0.0264,1.13E-6,0.661,96.053,1.0
Sin Contrato (feat. Fifth Harmony),Maluma,Sin Contrato (feat. Fifth Harmony),0.782,0.791,-6.038,0.102,0.144,0.0,0.896,96.022,1.0
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel AA,Sola (Remix),0.639,0.869,-4.024,0.147,0.27,0.0,0.767,169.801,1.0
Sola Otra Vez,El Polaco,Sola Otra Vez,0.669,0.902,-3.386,0.0334,0.0454,0.0,0.94,104.971,1.0
Sorry,Justin Bieber,Purpose (Deluxe),0.654,0.76,-3.669,0.045,0.0797,0.0,0.41,99.945,0.0
Soy Cordobes,Rodrigo,Soy Cordobes,0.51,0.942,-5.426,0.0939,0.155,0.0,0.818,158.372,1.0
Stressed Out,Twenty One Pilots,Blurryface,0.734,0.637,-5.677,0.141,0.0462,2.29E-5,0.648,169.977,0.0
Sólo necesito,#TocoParaVos,#Tocoparavos,0.68,0.73,-5.713,0.0315,0.1,1.25E-6,0.935,108.997,1.0
Taste Of Love,Maxi Trusso,Last Call,0.681,0.793,-6.42,0.0922,0.0154,1.94E-6,0.569,125.03,0.0
Te Amo y Odio,Marama,Todo Comenzó Bailando,0.715,0.736,-6.276,0.0347,0.277,0.0,0.76,99.871,1.0
Te Quiero Pa´Mi,"Don Omar, Zion & Lennox",King Of Kings 10th Anniversary (Remastered),0.761,0.82,-4.003,0.0623,0.125,2.1E-5,0.619,88.997,0.0
Te Vas,Ozuna,Te Vas,0.796,0.291,-11.894,0.0403,0.836,0.0,0.923,176.03,1.0
Te Vas - Version Cumbia,"aLee DJ, Zeta Music",VOL. 1,0.646,0.784,-6.096,0.0342,0.128,0.00637,0.978,150.165,1.0
Te busco (feat. Nicky Jam),Cosculluela,Blanco Perla,0.743,0.773,-4.787,0.109,0.202,0.0,0.794,88.95,1.0
The Greatest,Sia,This Is Acting (Deluxe Version),0.639,0.785,-6.167,0.174,0.0174,0.00107,0.686,191.95,0.0
The Greatest (feat. Kendrick Lamar),Sia,This Is Acting (Deluxe Version),0.668,0.725,-6.127,0.266,0.0102,4.79E-4,0.729,191.944,0.0
The Mack,"Nevada, Mark Morrison, Fetty Wap",The Mack,0.707,0.883,-4.281,0.0602,0.0707,0.0,0.541,106.031,0.0
This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,Layers,0.793,0.729,-4.77,0.0394,0.08,3.1E-5,0.488,121.972,0.0
This Is What You Came For (feat. Rihanna),Calvin Harris,This Is What You Came For,0.631,0.927,-2.787,0.0332,0.199,0.119,0.465,123.962,0.0
Todo Comenzó Bailando,Marama,Todo Comenzó Bailando,0.39,0.641,-5.807,0.0663,0.0738,0.0,0.931,48.754,1.0
Traicionera,Sebastian Yatra,Traicionera,0.776,0.669,-4.933,0.0638,0.142,0.0,0.661,91.012,1.0
Traicionera - Remix,"Sebastian Yatra, Cosculluela, Cali Y El Dandee",Traicionera (Remix),0.766,0.747,-3.95,0.0619,0.0293,0.0,0.856,91.06,1.0
Treat You Better,Shawn Mendes,Illuminate,0.624,0.803,-4.105,0.246,0.123,0.0,0.821,166.018,0.0
Trumpets,"Sak Noel & Salvi, Sean Paul",Trumpets (Remixes),0.676,0.708,-6.989,0.225,0.00251,1.34E-4,0.435,100.025,0.0
Tu Ritmo,Los Bonnitos,Tu Ritmo,0.785,0.764,-6.364,0.0382,0.135,0.0,0.972,105.979,1.0
Tus Ojos No Me Ven,Agapornis,De Bailadeta,0.755,0.859,-6.138,0.0345,0.0865,0.0,0.926,100.024,1.0
Una Cerveza,Rafaga,Una Cerveza,0.747,0.907,-1.921,0.0515,0.316,0.0,0.757,98.005,1.0
Una Cita - Remix,"Alkilados, Nicky Jam, J Alvarez, El Roockie",Una Cita (Remix),0.78,0.845,-4.748,0.0724,0.195,0.0,0.694,95.981,1.0
Una Noche Contigo,"Marama, Rombai",Todo Comenzó Bailando,0.749,0.714,-4.826,0.0328,0.382,0.0,0.962,109.905,1.0
Una Ráfaga de Amor,Rafaga,Lo mejor de Ráfaga,0.773,0.918,-3.443,0.0461,0.236,9.3E-6,0.921,99.966,1.0
Una historia,#TocoParaVos,#Tocoparavos,0.683,0.592,-7.912,0.0419,0.098,0.0,0.909,104.952,1.0
